,k_fold,Loss,MAE,RMSE
0,1,126.4488296508789,8.590051651000977,11.244946479797363
1,2,34.25936508178711,4.495179653167725,5.853149890899658
2,3,33.126914978027344,4.443155288696289,5.755598068237305
3,4,30.054365158081055,4.198077201843262,5.4821858406066895
4,5,21.638446807861328,3.437635660171509,4.65171480178833
